,Invoicedate,Distributor,GroupId,Type,Provincename,MatNo,Material Name,New_Volume(L),Points,Month
4006,2023-04-24,C,ERW_C08P2020090028,Retails,Kamphaeng Phet,145500,MOBIL DELVAC MODERN 15W-40 S DEFENSE PAIL20L:TH,8980,2,4
4007,2023-04-24,C,ERW_C08P2020090028,Retails,Kamphaeng Phet,143507,MOBIL SUPER 2000 10W40 4/4+1,2260,2,4
4008,2023-05-09,C,ERW_C08P2020090028,Retails,Kamphaeng Phet,135895,MOBIL LUBE HD 85W140 4/5,1820,1,5
4009,2023-05-09,C,ERW_C08P2020090028,Retails,Kamphaeng Phet,135898,MOBIL LUBE HD 80W90 4/5,2660,1,5
4010,2023-11-22,C,ERW_C08P2020090028,Retails,Kamphaeng Phet,145570,MOBIL SUPER FRICTION FIGHTER 10W-40 4x4+1L/CAR,5100,2,11
4011,2023-11-22,C,ERW_C08P2020090028,Retails,Kamphaeng Phet,145498,MOBIL DELVAC Legend 15W40(CH-4) 20L,9440,2,11
4012,2023-11-22,C,ERW_C08P2020090028,Retails,Kamphaeng Phet,145438,MOBIL DELVAC LEGEND 20W-50 Standard DEFENSE PAIL20L :TH,4680,1,11
4013,2023-06-05,C,ERW_C08P2020090028,Retails,Kamphaeng Phet,145500,MOBIL DELVAC MODERN 15W-40 S DEFENSE PAIL20L:TH,200,2,6
4014,2023-06-05,C,ERW_C08P2020090028,Retails,Kamphaeng Phet,145438,MOBIL DELVAC LEGEND 20W-50 Standard DEFENSE PAIL20L :TH,3880,1,6
4015,2023-09-13,C,ERW_C08P2020090033,Retails,Tak,145498,MOBIL DELVAC Legend 15W40(CH-4) 20L,8680,2,9
4016,2023-09-13,C,ERW_C08P2020090033,Retails,Tak,145438,MOBIL DELVAC LEGEND 20W-50 Standard DEFENSE PAIL20L :TH,2960,1,9
4017,2023-08-30,C,ERW_C08P2020090046,Retails,Nakhon Sawan,145570,MOBIL SUPER FRICTION FIGHTER 10W-40 4x4+1L/CAR,5100,2,8
