,Invoicedate,Distributor,GroupId,Type,Provincename,MatNo,Material Name,New_Volume(L),Points,Month
3737,2023-03-07,C,ERW_C08P2020090116,Retails,Sukhothai,143162,MOBIL DELVAC MX 15W40 12/1,920,2,3
3738,2023-11-13,C,ERW_C08P2020090044,Retails,Tak,145451,MOBIL DELVAC LEGEND 20W-50 Standard DEFENSE CTN 4X6L:TH,9740,1,11
3739,2023-05-22,C,ERW_C08P2020090127,Reseller,Phrae,135895,MOBIL LUBE HD 85W140 4/5,5060,1,5
3740,2023-04-21,B,ERW_B2XK2021090001,Retails,Kanchanaburi,143899,MOBIL ATF 220 SYN TECH CTN 12X1L:TH,3800,1,4
3741,2023-04-21,B,ERW_B2XK2021090001,Retails,Kanchanaburi,145573,MSUPER E.P TURBOSPEED 15W40 12/1,1300,1,4
3742,2023-09-06,B,ERW_BM2U2020110053,Retails,Nakhon Pathom,135508,MOBIL DELVAC 1640 4/6,3420,1,9
3743,2023-11-27,B,ERW_B4642020110011,Retails,Samut Sakhon,145498,MOBIL DELVAC Legend 15W40(CH-4) 20L,8260,2,11
3744,2023-07-31,B,ERW_B5CM2020120008,Retails,Samut Sakhon,145500,MOBIL DELVAC MODERN 15W-40 S DEFENSE PAIL20L:TH,5460,2,7
3745,2023-11-30,B,ERW_BHGO2023040001,Retails,Nakhon Pathom,144673,MOBIL 1 Turbo Diesel 5W-40 4X6L/CAR,2260,10,11
3746,2023-10-27,B,ERW_BHGO2023040001,Retails,Nakhon Pathom,144673,MOBIL 1 Turbo Diesel 5W-40 4X6L/CAR,7540,10,10
3747,2023-08-08,B,ERW_BM2U2020110053,Retails,Nakhon Pathom,135508,MOBIL DELVAC 1640 4/6,9760,1,8
3748,2023-04-29,B,ERW_BM2U2020110053,Retails,Nakhon Pathom,135508,MOBIL DELVAC 1640 4/6,6480,1,4
3749,2023-10-31,B,ERW_BM2U2020110127,Reseller,Kanchanaburi,145498,MOBIL DELVAC Legend 15W40(CH-4) 20L,2140,2,10
3750,2023-04-19,B,ERW_BM2U2020110012,Retails,Nakhon Pathom,145500,MOBIL DELVAC MODERN 15W-40 S DEFENSE PAIL20L:TH,1000,2,4
3751,2023-05-29,B,ERW_BM2U2020110014,Reseller,Suphan Buri,144673,MOBIL 1 Turbo Diesel 5W-40 4X6L/CAR,3060,10,5
3752,2023-10-14,B,ERW_BM2U2020110026,Retails,Nakhon Pathom,145500,MOBIL DELVAC MODERN 15W-40 S DEFENSE PAIL20L:TH,3960,2,10
3753,2023-03-31,B,ERW_BM2U2020110030,Reseller,Ratchaburi,135898,MOBIL LUBE HD 80W90 4/5,8260,1,3
